Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
Main Theme,Bleach,Shirō Sagisu,Animé,Action,2004,Difficile,Asie,,https://open.spotify.com/intl-fr/track/1CXffruI5PpH4KCd2M7Vp5,spotify:track:1CXffruI5PpH4KCd2M7Vp5,,FALSE
I Really Want to Stay At Your House,Cyberpunk Edgerunners ,Akira Yamaoka,Animé,"Science-Fiction, Action, Drame",2022,Moyen,Asie,,https://open.spotify.com/intl-fr/track/7mykoq6R3BArsSpNDjFQTm,spotify:track:7mykoq6R3BArsSpNDjFQTm,,FALSE
Death Note Theme,Death Note,"Hideki Taniuchi, Yoshihisa Hirano",Animé,Thriller,2006,Moyen,Asie,,https://open.spotify.com/intl-fr/track/2aLLRhGxhkTfba4S8Q4DrF,spotify:track:2aLLRhGxhkTfba4S8Q4DrF,,FALSE
The EntranceTo The Infinity Castle,Demon Slayer,"Yuki Kajiura, Go Shiina",Animé,Action,2019,Difficile,Asie,,https://open.spotify.com/intl-fr/track/2tqocx3oluyxh1hTb6hpVi,spotify:track:2tqocx3oluyxh1hTb6hpVi,,FALSE
Cha-La Head-Cha-La,Dragon Ball,Shunsuke Kikuchi,Animé,Action,1986,Moyen,Asie,Dragon Ball Z,https://open.spotify.com/intl-fr/track/0aEpSaOiQ2Clz7Qg6z6UX6,spotify:track:0aEpSaOiQ2Clz7Qg6z6UX6,,FALSE
Fairy Tail Main Theme,Fairy Tail,Yasuharu Takanashi,Animé,Action,2009,Moyen,Asie,,https://open.spotify.com/intl-fr/track/7JoZiEMrwjpD18krCV8Czo,spotify:track:7JoZiEMrwjpD18krCV8Czo,,FALSE
Main Theme,Fullmetal Alchemist,Akira Senju,Animé,"Action, Drame",2009,Difficile,Asie,,https://open.spotify.com/intl-fr/track/7c9OHViTralZa26DFOSTs2,spotify:track:7c9OHViTralZa26DFOSTs2,,FALSE
Departure!,Hunter x Hunter,Yoshihisa Hirano,Animé,Action,2011,Difficile,Asie,HxH,https://open.spotify.com/intl-fr/track/68XJP1sxQ5aiwbDJ8McUSr,spotify:track:68XJP1sxQ5aiwbDJ8McUSr,,FALSE
Il Vento d'Oro,Jojo's Bizarre Adventure,Yugo Kanno,Animé,Action,2012,Moyen,Asie,Jojo,https://open.spotify.com/intl-fr/track/17VP4tofJ3evJbtY8Tk1Qi,spotify:track:17VP4tofJ3evJbtY8Tk1Qi,,FALSE
A Thousand-Year Curse,Jujutsu Kaisen,"Hiroaki Tsutsumi, Yoshimasa Terui, Alisa Okehazama",Animé,Action,2020,Difficile,Asie,,https://open.spotify.com/intl-fr/track/6KJUxkakQM2BuWBqv28oJg,spotify:track:6KJUxkakQM2BuWBqv28oJg,,FALSE
